"Source:","/opt/work-iot/supply/schematics/supply-uv/supply-uv.kicad_sch"
"Date:","2024-08-24T22:05:37+0300"
"Tool:","Eeschema 8.0.4-8.0.4-0~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","282"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C8, C9, C28, C31, C32, C35, C38, C39, C40, C50, C54, C55, C58, C59, C60, C64, C67, C73","20","100 nF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","",""
"C3, C42, C62","3","47 uF@450V","C_Polarized","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","Polarized capacitor","",""
"C4, C13, C45, C66","4","К73-17 0.22 uF@630V","C","Capacitor_THT:C_Axial_L12.0mm_D6.5mm_P20.00mm_Horizontal","Unpolarized capacitor","",""
"C5, C11, C12, C47","4","22 uF","C","Capacitor_SMD:C_1210_3225Metric","Unpolarized capacitor","",""
"C6, C70, C71","3","10 nF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","",""
"C7","1","JYC3D101KBY","C","Capacitor_THT:C_Disc_D7.0mm_W2.5mm_P5.00mm","Unpolarized capacitor","",""
"C10","1","100 uF@350V","C_Polarized","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","Polarized capacitor","",""
"C14, C15, C16, C26, C30","5","220 uF@35V","C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","Polarized capacitor","",""
"C17, C18, C19, C20, C27, C49","6","22 uF","C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder","Polarized capacitor","",""
"C21, C25","2","10 nF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","","DNP"
"C22, C23, C46","3","1000 uF@16V","C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Polarized capacitor","",""
"C24, C74","2","4.7 uF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","",""
"C29, C41, C51, C61, C72, C76","6","1 uF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","",""
"C33, C53","2","47 uF@35V","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor","",""
"C34, C37, C52, C56","4","10 uF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","",""
"C36, C57","2","2.2 nF","C","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor","",""
"C43, C44","2","К73-17 0.15 uF@400V","C","Capacitor_THT:C_Rect_L16.5mm_W7.3mm_P15.00mm_MKT","Unpolarized capacitor","",""
"C48","1","2200 uF@35V","C_Polarized","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","Polarized capacitor","",""
